Dataset,base_perf_svm_cls,base_perf_svm_ab1,base_perf_svm_ab2
autoUniv-au1-1000,0.651,0.651,0.7030000000000001
blood-transfusion-service-center,0.6739418344519015,0.7098523489932886,0.7727069351230426
cnae-9,0.8648148148148147,0.8648148148148147,0.9555555555555556
diabetes,0.658925388337153,0.7603683897801545,0.658925388337153
ibm-employee-performance,0.9040816326530612,1.0,0.9040816326530612
ilpd-numeric,0.7049071618037136,0.7135573239021515,0.7049071618037136
isolet,0.8127490501800958,0.8127490501800958,0.9613955362576274
kr-vs-kp,0.9937421752738654,0.9937421752738654,0.9937421752738654
monks-problems-2,0.7504407713498622,0.6772038567493113,0.6772038567493113
mushroom,1.0,1.0,1.0
pc1,0.9098202274672864,0.9098202274672864,0.93056948351066
phoneme,0.8721331414670914,0.8721331414670914,0.8595499708774454
pizzacutter3,0.7766148325358853,0.8340955097534044,0.7766148325358853
qsar,0.8597156398104266,0.8151658767772512,0.8151658767772512
segment,0.8623376623376624,0.8623376623376624,0.8623376623376624
semeion,0.9221466453737112,0.7363182902545297,0.9221466453737112
solar-flare,0.7206349206349206,0.7365079365079366,0.7206349206349206
students_scores,0.868,0.875,0.868
tic-tac-toe,0.8810100349040141,0.8904123036649214,0.9196171465968586
titanic,0.7832859204287775,0.7801041022469594,0.7760152545866832
usps,0.9713913134012389,0.8802974775431351,0.9713913134012389
wdbc,0.927992547741034,0.9138953578636858,0.927992547741034
