Dataset,src_ab1,src_ab2
autoUniv-au1-1000,0.14285714285714288,-0.3142857142857143
blood-transfusion-service-center,0.2571428571428572,-0.08571428571428573
cnae-9,0.08571428571428573,0.7714285714285715
diabetes,0.6,0.3142857142857143
ibm-employee-performance,0.6,-0.08571428571428573
ilpd-numeric,0.6,0.7142857142857143
isolet,0.8116794499134278,0.8857142857142858
kr-vs-kp,0.8116794499134278,0.08571428571428573
monks-problems-2,-0.3142857142857143,0.6571428571428573
mushroom,0.08696565534786728,0.8116794499134279
pc1,0.1449427589131121,0.1449427589131121
phoneme,0.028571428571428574,0.8116794499134278
pizzacutter3,0.08571428571428573,0.14494275891311212
qsar,0.08571428571428573,0.08571428571428573
segment,0.2571428571428572,-0.3714285714285715
semeion,0.8857142857142858,0.942857142857143
solar-flare,0.6667366910003157,0.46381682852195877
students_scores,0.6667366910003157,0.4285714285714286
tic-tac-toe,0.08571428571428573,0.7826908981308054
titanic,0.7714285714285715,0.8116794499134278
usps,0.2,0.6571428571428573
wdbc,0.7142857142857143,0.3768511731740915
